absolute path,relative path,class
D:\Projects\Python\python\Lab5\dataset\7411.jpg,..\python\Lab5\dataset\7411.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\0895.jpg,..\python\Lab5\dataset\0895.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\1613.jpg,..\python\Lab5\dataset\1613.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\2720.jpg,..\python\Lab5\dataset\2720.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\4246.jpg,..\python\Lab5\dataset\4246.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\8215.jpg,..\python\Lab5\dataset\8215.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\6887.jpg,..\python\Lab5\dataset\6887.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\9389.jpg,..\python\Lab5\dataset\9389.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\3183.jpg,..\python\Lab5\dataset\3183.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\3939.jpg,..\python\Lab5\dataset\3939.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\3794.jpg,..\python\Lab5\dataset\3794.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\4013.jpg,..\python\Lab5\dataset\4013.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\8740.jpg,..\python\Lab5\dataset\8740.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\7081.jpg,..\python\Lab5\dataset\7081.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\1312.jpg,..\python\Lab5\dataset\1312.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\9290.jpg,..\python\Lab5\dataset\9290.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\0230.jpg,..\python\Lab5\dataset\0230.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\3432.jpg,..\python\Lab5\dataset\3432.jpg,tiger
D:\Projects\Python\python\Lab5\dataset\3823.jpg,..\python\Lab5\dataset\3823.jpg,tiger
